"tweets","words"
61,"Recovery"
61,"Committee"
61,"and"
61,"talks"
61,"council"
61,"raises"
61,"ymmfire"
61,"ymm"
61,"pictwittercom0fv0yuFuu0"
62,"Tune"
62,"in"
62,"12"
62,"as"
62,"SheldonGermain"
62,"explains"
62,"the"
62,"Wood"
62,"Buffalo"
62,"Recovery"
62,"Committee"
62,"and"
62,"talks"
62,"council"
62,"raises"
62,"ymmfire"
62,"ymm"
62,"pictwittercomnJTecI1YDB"
63,"Smittys"
63,"donates"
63,"10000"
63,"to"
63,"NorLightsHealth"
63,"at"
63,"pancake"
63,"breakfast"
63,"shellplace"
63,""
63,"all"
63,"part"
63,"of"
63,"Wood"
63,"Buffalo"
63,"Rocks"
63,"ymm"
63,"Mix1037radio"
63,"ymmfire"
64,"Today"
64,"is"
64,"the"
64,"Fire"
64,"Aid"
64,"for"
64,"Fort"
64,"McMurray"
64,"Benefit"
64,"Concert"
64,""
64,"http"
64,"edmontontalksnewsfireaidconce"
64,"rt"
64,"…"
64,"YEG"
64,"YEG4YMM"
64,"YMMFIRE"
64,"FortMac"
64,"pictwittercomLnlxH4CwWz"
65,"Guys"
65,"and"
65,"gals"
65,"from"
65,"the"
65,"FMEmergService"
65,"enjoying"
65,"breakfast"
65,"at"
65,"Shell"
65,"Place"
65,"ymm"
65,"ymmfire"
65,"rmwb"
65,"Mix1037radio"
65,"pictwittercomjOCFKXQzFt"
66,"Pancak"
66,"breakfast"
66,"on"
66,"now"
66,"at"
66,"Shell"
66,"Place"
66,"until"
66,"11"
66,"Free"
66,"rmwb"
66,"ymm"
66,"ymmfire"
66,"Mix1037radio"
66,"pictwittercompP1FE4NzhG"
67,"Can"
67,"you"
67,"help"
67,"us"
67,"help"
67,"ymm"
67,"by"
67,"volunteering"
67,"for"
67,"the"
67,"fmspca"
67,""
67,"Sign"
67,"up"
67,"here"
67,"http"
67,"owlyYFKs301Cxko"
67,"ymmfire"
67,"ymmpets"
67,"volunteersneeded"
67,"rmwb"
68,"The"
68,"latest"
68,"The"
68,"PW"
68,"Daily"
68,"http"
68,"paperliOKtobeWEIRDpw"
68,"tweepseditionidf0aaf9e03e0e11e6bfc90cc47a0d1609"
68,"…"
68,"Thanks"
68,"to"
68,"emilyghughes"
68,"ymm"
68,"ymmfire"
69,""
69,"redcrosscanada"
69,"has"
69,"a"
69,"special"
69,"message"
69,"for"
69,"1"
69,"million"
69,"Canadians"
69,"who"
69,"donated"
69,"to"
69,"ABfire"
69,"to"
69,"support"
69,"ymmfire"
69,"evacuees"
69,"https"
69,"amptwimgcomv47b9d8a5724"
69,"64845996269ae467a5dd5"
69,"…"
70,"Should"
70,"be"
70,"a"
70,"great"
70,"show"
70,"for"
70,"a"
70,"great"
70,"cause"
70,"Whos"
70,"going"
70,"to"
70,"FireAid4YMM"
70,"tonight"
70,"yeg"
70,"ymmfire"
70,"https"
70,"twittercomfireaidbenefit"
70,"status748135182838947841"
70,"…"
71,"What"
71,"are"
71,"you"
71,"doing"
71,"on"
71,"July"
71,"6"
71,"Come"
71,"to"
71,"our"
71,"ymmfire"
71,"fundraiser"
71,"and"
71,"watch"
71,"a"
71,"screening"
71,"of"
71,"Pirates"
71,"of"
71,"Silicon"
71,"Valley"
71,"http"
71,"owly47hK301HcFp"
72,"Country"
72,"crooner"
72,"Corb"
72,"Lund"
72,"is"
72,"set"
72,"to"
72,"host"
72,"tonights"
72,"Fire"
72,"Aid"
72,"concert"
72,"for"
72,"ymmfire"
72,""
72,"Story"
72,"by"
72,"ChrisPurdyCP"
72,"httpwww"
72,"ctvnewscaentertainment"
72,"corblundalandoylehostingbenefitforfortmcmurrayfirevictims12966221"
72,"…"
73,"Read"
73,"messages"
73,"of"
73,"support"
73,"from"
73,"donors"
73,"to"
73,"ymmfire"
73,"evacuees"
73,"http"
73,"bitly291FGbt"
73,"Share"
73,"yours"
73,"with"
73,"RedCrossThanks"
73,"pictwittercomGQT21Onxlk"
74,"As"
74,"Fort"
74,"McMurray"
74,"rebuilds"
74,"fire"
74,"chief"
74,"wants"
74,"more"
74,"wildfire"
74,"resilience"
74,""
74,"http"
74,"bitly29eXJwa"
74,""
74,"ymm"
74,"ymmfire"
74,"pictwittercomUQKI6nzO5g"
